ID,Ileum 5HT,Ileum 5HIAA-5HT ratio,Colon 5HT,Colon 5HIAA-5HT ratio,MLN - Treg,MLN - Treg - Helios negative,Blood - Treg,Blood - Inflammatory monocytes,Blood - Neutrophils,Cecum|Akkermansia_muciniphila,Cecum|Alistipes_unclassified,Cecum|Anaerotruncus_unclassified,Cecum|Bacteroides_uniformis,Cecum|Bacteroides_vulgatus,Cecum|Bacteroides_xylanisolvens,Cecum|Bifidobacterium_longum,Cecum|Bifidobacterium_pseudolongum,Cecum|C2likevirus_unclassified,Cecum|Dorea_unclassified,Cecum|Eubacterium_plexicaudatum,Cecum|Lachnospiraceae_bacterium_3_1_46FAA,Cecum|Lactobacillus_animalis,Cecum|Lactobacillus_johnsonii,Cecum|Lactobacillus_murinus,Cecum|Lactobacillus_reuteri,Cecum|Mucispirillum_schaedleri,Cecum|Odoribacter_unclassified,Cecum|Parabacteroides_distasonis,Cecum|Parabacteroides_goldsteinii,Cecum|Parabacteroides_unclassified,Cecum|Propionibacterium_acnes,Cecum|Subdoligranulum_unclassified,Ileum|Akkermansia_muciniphila,Ileum|Bifidobacterium_longum,Ileum|Bifidobacterium_pseudolongum,Ileum|Candidatus_Arthromitus_unclassified,Ileum|Enterococcus_hirae,Ileum|Enterorhabdus_caecimuris,Ileum|Escherichia_unclassified,Ileum|Lactobacillus_animalis,Ileum|Lactobacillus_johnsonii,Ileum|Lactobacillus_murinus,Ileum|Lactobacillus_reuteri,Ileum|Mucispirillum_schaedleri,Ileum|Propionibacterium_acnes,Faeces|Akkermansia_muciniphila,Faeces|Alistipes_unclassified,Faeces|Anaerotruncus_unclassified,Faeces|Bacillus_amyloliquefaciens,Faeces|Bacteroides_dorei,Faeces|Bacteroides_intestinalis,Faeces|Bacteroides_ovatus,Faeces|Bacteroides_uniformis,Faeces|Bacteroides_vulgatus,Faeces|Bacteroides_xylanisolvens,Faeces|Bifidobacterium_pseudolongum,Faeces|Candidatus_Arthromitus_unclassified,Faeces|Dorea_unclassified,Faeces|Eubacterium_plexicaudatum,Faeces|Lachnospiraceae_bacterium_3_1_46FAA,Faeces|Lactobacillus_animalis,Faeces|Lactobacillus_johnsonii,Faeces|Lactobacillus_murinus,Faeces|Lactobacillus_reuteri,Faeces|Mucispirillum_schaedleri,Faeces|Odoribacter_unclassified,Faeces|Parabacteroides_distasonis,Faeces|Parabacteroides_goldsteinii,Faeces|Parabacteroides_unclassified,Faeces|Propionibacterium_acnes,Faeces|Ralstonia_unclassified,Faeces|Ruminococcus_torques,Faeces|Subdoligranulum_unclassified
Milk_1,2.077331,2.178952,5.650258,0.725316,5.611543747,4.466330738,0.84916908,2.563201197,3.187733732,32.31376,0,2.37971,0,0,0,0,6.75231,0,0.66173,0.33739,0.09012,0,11.72834,2.17867,0.13706,43.42091,0,0,0,0,0,0,52.17303,1.56862,22.43537,1.48805,0,0,0,0,13.49704,7.00999,1.8279,0,0,60.76639,0.09175,0,0.2079,0,0,0,1.65262,0,0,12.85159,0,0.27145,0,0,0,12.36291,3.80954,0.16656,2.78856,0.81236,0,0,2.58569,0.28272,0,0,0
Milk_2,1.305016,1.741728,6.744775,0.756116,4.818356041,3.095644525,0.907013961,2.707546206,2.354743184,59.8457,0,0,0,0,0,0,7.76802,0,0,0,0,0,4.3813,3.46272,1.97119,22.57107,0,0,0,0,0,0,40.78194,0,43.44562,0.7338,0,0,0,0,7.27324,4.98588,2.77952,0,0,59.07401,0,2.24671,1.84835,0,0,0,0.03604,0,0,4.29066,0,0,0,0.97696,0,3.51642,3.83445,0.17586,21.16226,2.33506,0,0,0.17407,0.32916,0,0,0
Milk_3,1.993479,1.492447,6.909886,0.466476,5.704915222,3.621358599,,3.815069899,5.32877914,59.93208,0,2.13734,0,0,0,0,9.00785,0,0,0,1.01511,0,4.50116,4.84236,1.55944,14.72851,0.41471,0,0,0,0,0,73.90704,0,20.36015,0.23782,0,0.18047,0,0,2.65218,1.69121,0.85489,0.11624,0,66.08747,0.2202,0.67068,0.48307,0,0,0,0.46021,0,0.23366,15.00876,0,0.12835,0,0.42798,0.04438,2.85145,10.46588,0.28865,0.97252,0.55336,0,0,0.32457,0.21259,0,0,0
Milk_4,0.762213,2.322908,11.00074,0.579878,5.087853483,3.233343462,0.706661759,3.228185445,4.105795984,49.3014,1.34567,0,0,0,0,6.01046,6.08269,0,0.29906,0,0,0,3.91724,5.07471,2.81574,24.29781,0.85522,0,0,0,0,0,62.19297,0,24.04623,0.04909,0,0,0,0,4.26177,6.48252,2.96743,0,0,62.73402,0.74851,0,0.5054,0,0,0,0.38627,0,0.34392,19.28645,0.25364,0.15172,0,0.02119,0,2.15022,10.0809,1.20888,0.21542,0.88446,0,0,0.56871,0.21068,0,0,0
Milk_5,1.5561,1.597901,10.70446,0.689973,5.15813681,3.219572764,0.699661851,3.56093548,8.552289173,0,0,0,0,0,0,0,16.66966,0,0,0.6067,0,0,0,8.69182,0,72.39,0,0,0,1.64183,0,0,0.0428,0,74.53546,2.65446,0,0,1.77122,0.2707,0,17.11244,3.61291,0,0,1.26961,0.33147,0,0,0,0,0,2.78882,0.07912,0.94907,59.12862,0,0.49432,0,0,0.33744,0,17.0784,4.25051,0.3262,4.12353,0.09282,1.89438,6.85568,0,0,0,0
Milk_6,,1.01661,11.29454,0.477654,4.189944134,2.454953183,0.50314908,5.585176228,4.943293208,0,0.42779,0,0,0,0,0,2.27312,0,4.4204,0.21757,7.47038,0,0,9.53611,1.66641,70.34689,3.64134,0,0,0,0,0,0,0,46.905,13.49832,0.15313,0.07512,0,0.51688,0,26.53493,12.31662,0,0,0,1.63939,0,0,0,0,0,7.8026,0,2.3022,10.95305,1.28551,0.30035,0,2.3467,0,0,29.45118,3.16706,3.91644,9.05493,1.51765,5.28342,17.66763,0,0,0,3.31189
Milk_7,1.675378,0.811907,7.773535,0.633209,4.915744341,3.122195633,0.632424419,5.359054496,6.670259008,0,0,0,0,0,0,0,13.44943,0,0,0.37333,1.39778,0,0,25.49066,14.38523,44.90357,0,0,0,0,0,0,0.11254,0,68.89117,8.04086,0,0,0,0.40973,0,14.89918,7.64651,0,0,0,0.24345,0,0,0,0,0,0.96987,2.88915,0.59772,19.18145,0.08517,0.54304,0.06291,1.61685,1.42781,0,60.74236,4.34396,0.65298,0,0.53054,0.73286,5.37988,0,0,0,0
Milk_8,1.294297,1.020692,11.04346,0.513032,4.406538735,2.560891687,0.452104387,3.463838028,9.774970461,0,0.48248,0,0,0,0,0,16.99364,0,2.26937,0,0,0,0,10.16284,1.07045,63.51813,3.13351,0,0,2.36958,0,0,0,0,64.85587,4.87515,0,0,0,0,0,20.94015,4.74259,0,0,0.94487,0.80975,0,0,0,0,0,2.43842,0,0.8951,63.72444,0.39791,0.52624,0,0,0,0,14.20518,4.25831,2.27578,3.6061,0,0,5.33764,0,0,0,0.58027
Milk_9,1.202102,1.217907,10.48151,0.989213,4.931175472,2.485281764,0.286459362,2.544500315,3.437919501,16.79763,0.44705,8.99423,0,0,0,0,25.38958,0,1.30518,0,0,0,0,0,0,25.30051,21.76583,0,0,0,0,0,0,0,78.33542,3.85418,0,0,0,0,5.2063,7.0738,5.53031,0,0,23.8531,1.16842,0,0,0,0,0,0.09962,0,0.82334,36.12767,0.76887,0,0,0,0,3.94767,8.96727,4.34705,11.05236,8.84466,0,0,0,0,0,0,0
Milk_10,1.045828,1.912296,11.27277,0.474091,4.848447785,2.453411315,0.275500756,3.47460268,6.703022749,2.62048,0,14.94154,3.97712,0,0,0.12037,12.54982,0,0,0,0,0,0.73915,0,0,63.47857,0,0,0,0,0,1.57295,0.76256,0,57.47127,13.37005,0,0,0,0,9.88824,14.51861,3.49901,0,0.49025,17.47724,0.04177,0,0,0,0,0,10.01098,0.29783,1.46041,43.82872,2.9888,0,0,0,0,9.08178,3.71574,5.45182,0.58718,0,0.03542,1.19029,3.83202,0,0,0,0
Milk_11,2.795281,0.821922,11.90908,0.666172,4.904279747,2.464934849,0.216804266,8.598667608,3.07668507,0,0,0,0,0,0,3.03065,10.36946,0,2.12432,0.3737,0,0,0,0.82307,0,79.32755,3.95125,0,0,0,0,0,0.39746,0,75.42824,0,0,0,0,0,8.94828,15.22602,0,0,0,0.71264,0.24181,0,0,0,0,0,2.40055,0,0.62383,16.58128,0,0.12255,0.02106,0,0,2.75001,6.9868,0,66.173,1.29257,0,0,2.09389,0,0,0,0
Milk_12,1.875054,0.783908,8.670323,0.713433,3.940426239,1.972636506,0.191371863,5.898465043,2.466507566,1.60068,1.41562,6.01151,0,0,0,0.36537,23.67856,0,0.43385,0.37565,0,0,1.85981,0,0,58.99397,0,0,0,0,0,0,2.12546,0,92.297,3.74684,0,0,0,0,1.8307,0,0,0,0,7.97769,1.87426,0,0,0,0,0.03591,1.48707,0,2.62234,41.36832,0,0.88455,0,0,0,8.47264,4.1069,2.81008,13.33236,15.02788,0,0,0,0,0,0,0
UK4_13,2.650052,0.921081,14.38957,0.538719,4.815322666,2.802578596,0.517743727,7.087942842,10.82493744,0,0.32277,6.72836,0,0,0,0.25014,8.791,0,1.4696,0,0,0,0,31.4606,0,49.66467,1.31285,0,0,0,0,0,2.7016,0,35.58293,0.82097,0.03353,0.04365,0,0.37954,0,55.98652,4.20778,0,0,2.42803,0.04481,2.36287,0,0,0,0,0.64331,0,0.1327,11.38873,0,0.79465,0,0,0.54526,0,72.71827,3.21284,4.23635,1.49219,0,0,0,0,0,0,0
UK4_14,1.299425,0.976727,12.05659,0.667574,6.536585366,3.52195122,0.609004739,4.213586246,8.74037751,0.84872,1.69197,8.33848,0,0,0,3.84091,24.64556,0,0,0.26898,0,0,0,31.56415,5.3002,23.50102,0,0,0,0,0,0,2.97368,0,61.56681,0.7295,0,0,0,0.0232,0,18.23408,16.47273,0,0,3.2629,1.21644,2.73802,0,0,0,0,2.84106,0.42804,1.40925,29.77836,0.55885,0.19866,0,0,0.22718,0,32.2204,9.60326,12.37507,1.13305,0,0.51537,1.49408,0,0,0,0
UK4_15,1.420193,0.869311,9.679205,0.338107,4.595073411,2.620830858,,3.727704959,12.5378595,1.74098,0,0,3.28238,0,0,6.36058,12.8939,0,0,0,0,0,0,65.18147,2.8753,5.01025,2.65514,0,0,0,0,0,0.64819,0,55.42366,1.39135,0,0,0,0.33826,0,40.23116,1.96738,0,0,3.11683,0,5.588,0,0,0,0,4.0794,0.06868,0.52279,8.45782,0,3.01171,0.89407,0,0,0,45.56216,3.31502,22.55368,0,0,1.57726,1.25258,0,0,0,0
UK4_16,0.770026,2.141521,12.12401,0.890474,5.023735043,3.081727299,0.845928088,2.922277623,8.881996519,0,0.70916,0,0,0,0,3.13537,10.56982,0,2.08012,1.60257,0,0,0,12.11586,7.16465,62.62245,0,0,0,0,0,0,8.19913,0,54.22917,0,0,0,0,0.45411,0,21.2137,15.90388,0,0,5.97253,0.38978,0,0,0,0,0,2.97601,0,0.44906,35.98431,0,2.27603,0.25879,0,0.8661,0,36.32952,8.08316,4.9215,0,0,0,1.4932,0,0,0,0
UK4_17,0.999351,,13.33265,0.626762,6.362804433,4.069610957,1.088137568,2.555609178,3.571271882,0,2.72435,0,0,0,0,0,16.86936,0,0,11.11744,0,0,4.95623,2.99023,3.76799,36.553,19.42725,0,0,0,0,1.59415,0.73747,0,71.38072,0,0,0.04169,0,0,12.97661,6.25946,8.14895,0,0,1.38155,2.80275,0,0,0,0,0,1.36321,0,0.85045,45.53068,0,0.82772,3.13222,0,0,14.17253,11.41033,4.48388,5.83072,3.49719,0,1.21979,3.0131,0,0.48388,0,0
UK4_18,2.74715,1.476984,9.885156,0.871592,6.194670745,4.264212817,0.946854001,4.201574538,1.709959444,0.85455,3.0194,2.40992,0.79022,0,0,0,16.72062,0,1.39818,0,0,0,0,14.3497,4.05187,52.55155,0,0,0,2.31226,0,1.54174,0.46179,0,71.68414,0,0,0.05553,0,0.01424,2.56715,18.65365,6.56351,0,0,4.12492,0.66351,0,0,0,0,0,2.35348,0.63949,0.93792,47.88246,0,0,0,0,0.3572,4.13742,28.46621,4.9649,0.39434,1.03382,0.05486,0.44617,3.54331,0,0,0,0
UK4_19,1.769288,2.572353,15.72587,0.491057,8.286683088,4.916669332,0.535118378,6.613608231,3.731819588,0,0,7.08604,0.33389,0,0,0,29.25789,1.42887,0.68403,1.53874,0,0,2.49574,6.92711,2.94648,45.24158,2.05964,0,0,0,0,0,0,0,76.50369,0,0,0,0,0,5.87443,8.29808,7.53727,0,0,0,0.70678,0,0,0,0,0,5.28025,0,0.97627,41.58918,0,0,0,0,0.48642,6.78241,31.80603,7.69413,1.27817,2.32272,0,0.56164,0.51601,0,0,0,0
UK4_20,1.934271,1.645092,10.60756,0.548717,6.911731222,4.274293521,,3.844593902,4.569299407,0,0.86499,2.57155,0,0,0,2.07989,58.99434,0,0,7.78424,0,0,1.33047,0,1.99419,21.13173,0,0,0,0,0,3.24859,4.87703,0,84.54047,0,0,0,0,0,4.71663,1.81405,2.80014,0,1.25168,2.11522,0.78974,0,0,0,0,0,0.49256,0,0.62254,72.7366,0,1.36657,0.79124,0,0,2.74494,5.66367,2.87452,6.27363,3.03617,0,0,0.49262,0,0,0,0
UK4_21,1.656998,1.218826,7.244031,0.753136,5.343903085,3.187475175,0.630618543,3.525755558,0.499193278,0,3.27193,0,0,0,0,0,14.94022,0,0,9.78206,0,0,0,2.94257,0.84194,60.73357,7.48771,0,0,0,0,0,0,0,87.60167,0.03687,0,0,0,0,0.65434,7.85011,3.85702,0,0,0.19236,1.61707,0.76908,0,0,0,0,0,0,0,37.357,0,1.16718,1.6385,0,0.22001,1.57963,17.07453,5.97484,26.16006,6.24974,0,0,0,0,0,0,0
UK4_22,1.579875,1.190413,12.18219,0.545973,6.255540079,4.295935165,0.714307426,3.06321544,0.715817451,3.01805,2.84191,0,0,0,0,0.10942,19.42739,0,2.43866,3.89155,0,0,5.0602,4.65039,2.84327,40.52463,15.19454,0,0,0,0,0,6.69369,0,70.21137,3.17355,0,0.04093,0,0.11829,3.28689,11.71356,4.31183,0,0,12.2486,2.40305,0,0,0,0,0,0.24573,0,0.39473,19.31185,1.63561,0.43677,0,0,0,5.00168,11.32619,5.19966,28.18715,11.64982,0,0,1.47755,0,0,0,0.48161
UK4_23,1.966097,1.360711,9.888087,0.415212,4.671159178,2.900345859,0.806963063,5.446506561,3.891413373,17.01573,0.87957,0,0,0,0,1.64326,15.96075,0,0,0.45456,0,0,17.87917,0,1.43062,30.46102,0,0,0.40281,3.31263,0,0,14.84955,0,55.86184,0.29965,0,0.06373,0,0,18.64552,5.83511,4.4446,0,0,13.84285,0.44725,0.8974,0,0,0,0.08212,2.82089,0.40314,1.16109,10.69003,0,1.34073,1.4864,0.3967,0,16.99195,3.50098,2.00339,36.15036,2.2948,0.19079,1.63165,3.66747,0,0,0,0
UK4_24,2.624104,1.610674,7.276977,0.446727,6.356873732,3.903004541,0.886153143,2.972815534,1.569417476,4.27376,0.07844,4.75135,0,0,0,0,29.28206,0,0.44855,0.4553,0,0,0,3.76743,3.68417,46.87186,0,0,0,0,0,0.99135,1.54551,0,94.75744,0,0,0,0,0,0,1.68651,2.01054,0,0,14.95489,1.40623,1.87279,0,0,0,0,0.37249,0,0.75265,60.58127,0,0,0,0,0,0,8.66031,4.28232,3.41546,0.40005,0,0.52611,2.77543,0,0,0,0
Fr1_25,0.516919,1.867072,1.349336,1.815802,4.902720828,3.09817584,0.549941569,4.607576519,6.77452322,4.38878,0,0,0,0.12773,0,0,6.05491,0,0.39942,0,0,0,21.91311,3.62124,22.4314,26.10415,0,0,7.97461,6.98465,0,0,3.52019,0,35.22172,11.22245,0,0,0,0,10.43209,22.73649,14.56237,0,0,4.66956,0.03094,2.50642,0,0.34094,0.09996,0,1.08092,5.07945,0.05811,11.71354,0.10874,1.95327,0.06166,0.51973,0,14.76392,5.07955,9.25658,18.36065,0.46885,1.17411,15.81193,5.67754,0,0,0,1.18361
Fr1_26,1.419629,2.036396,7.974843,1.351057,4.647418404,2.853127388,0.628293474,3.507143633,3.213894292,5.94899,0,0,3.83988,0,0,0,17.58807,0,0,0,0,0,33.12971,0,12.89053,17.03289,4.97777,0,0.82998,3.76218,0,0,3.24745,0,80.57828,0,0,0,0,0,8.86776,1.73242,5.57408,0,0,6.43322,0,1.28423,0,0,0.20461,0,5.31636,2.84249,1.72731,46.81803,0,0.18636,0,0,0,15.06369,1.13712,9.1207,0,0.9768,0.81897,2.63483,4.61331,0,0,0,0.82197
Fr1_27,2.058675,1.022311,7.513306,0.584245,4.615765531,2.704245212,0.300710502,5.536637528,3.275471855,0,2.53445,0,0,0,0,0,33.38243,0,1.11143,0,0,0,2.46442,20.82768,2.39397,28.25406,9.03156,0,0,0,0,0,0,0,79.19435,2.22786,0,0,0,0,5.05931,9.0715,4.44699,0,0,0,0.43568,2.37746,0,0,0,0,0.36154,0,0.51454,14.14871,0,0,0.26233,0.23536,0.1444,1.72345,13.87129,0.51931,60.20733,4.67469,0,0.24325,0,0,0,0,0.28068
Fr1_28,1.421907,2.603706,7.103797,1.453594,4.258049989,2.320798619,0.584802067,3.398966726,2.469742404,0.11411,2.05296,0,1.33384,0,0.06736,0,4.63007,0,0,0,0,0,32.58362,0.37664,7.9758,47.99362,0,0,1.08139,0,0,1.79059,0,0,89.66402,2.26139,0,0,0,0,6.50304,0,1.57155,0,0,3.56848,3.05716,0.74034,0,0,0.06661,0,8.23537,2.59256,1.12053,45.30357,0,0,0,0,0,12.86417,7.46502,5.69242,0.49685,0.47398,0.66907,4.49416,3.15971,0,0,0,0
Fr1_29,1.797166,1.20943,9.42636,0.748396,,,0.441944556,3.405301995,0.369864262,0,0,10.17461,0,0,0,0,12.04053,0,0,0,0,0,4.12694,3.26142,2.65493,67.74157,0,0,0,0,0,0,0,0,74.56182,8.39855,0,0,13.11376,0,0,3.92587,0,0,0,0,0,2.01302,0,0,0.55948,0,4.03437,0,0.1568,24.55644,0.68973,0.29148,0.14849,0.49594,0.46804,7.80789,35.77409,4.04058,11.1161,5.26503,0.15366,0.07413,1.92526,0,0,0,0.42948
Fr1_30,1.224592,1.78507,5.210626,0.867301,5.349801575,2.514806086,0.369963421,3.343104665,2.630985547,0,0,0,0,0,0,0,11.17789,0,1.68423,0.8565,0,0,13.1261,3.67684,8.01161,56.84367,4.62315,0,0,0,0,0,0.13909,0,69.65231,8.32724,0,0.0301,0,0.17536,10.03524,6.52056,5.12009,0,0,2.03057,0.31911,0,0,0,0,0.02551,1.34715,0.11453,0.64215,51.26246,1.97932,0.31737,0.14417,0,0.02432,15.67957,9.87455,9.90742,2.176,2.51231,0,0.58012,1.06336,0,0,0,0
Fr1_31,1.437666,2.036895,13.24715,0.390182,4.658303599,2.180395525,0.417875798,4.053545182,0.646234953,0,0,0,0,0,0,0,23.43856,0,0,0,0,0,0.85684,1.20981,6.34327,62.40198,0,0.28895,2.38101,3.07957,0,0,0.07765,0,88.61472,0.26577,0,0.2127,0,0,5.62488,1.10122,4.10306,0,0,0.08766,0,0,0,0,0,0,1.06194,0.03488,0.44752,62.55454,0.22149,0,0,0,0,9.77772,5.3232,7.63706,1.23946,1.97342,0.54213,1.35822,7.74076,0,0,0,0
Fr1_32,1.902102,1.379879,10.01652,0.834894,5.575975491,2.696358838,0.497483825,1.967220886,0.559946909,1.66745,0,0,0,0,0,0,31.30511,0,0,0.54442,0,0,32.43829,0.16508,8.81039,24.01792,1.05134,0,0,0,0,0,1.51949,0,77.36782,0,0,0,0,0,16.59051,0.59384,3.92834,0,0,4.85062,0.2137,1.44841,0,0,0,0,0.27008,0.15487,0.36649,58.50227,0,0.56364,0.09562,0,0,15.42631,0.97835,6.6016,2.44183,7.07,0,1.01622,0,0,0,0,0
Fr1_33,2.504674,0.560312,7.774405,0.992763,5.220687788,3.326563769,0.639580603,3.988497852,2.096115115,3.2432,1.8169,0,0,0,0,0,4.80522,0,0,0.1219,0,0,0,0.48527,3.52092,81.84592,0,0,0,0,0.35442,0,12.1059,0,51.00097,0.4714,0,0,0,0.74097,0,16.08154,15.90178,1.55267,0,9.85436,2.10065,0,0,0,0,0,1.26878,0,1.01456,49.64337,0,0.47057,0.05472,0,0,0,14.10477,6.74237,5.42309,5.63701,0,0,1.15243,0,0,1.13435,1.39896
Fr1_34,1.846759,1.051057,4.168213,1.29837,4.50206645,2.763601065,1.059306321,3.715298942,1.343713637,1.87397,2.65312,6.52717,0,0,0,0.43808,7.67169,0,0,0.5888,0,0,0,4.64236,1.20986,68.43237,5.12234,0,0,0,0,0.84024,5.38036,0,77.30844,0,0,0,0,0,0,13.00138,4.29307,0,0.01675,53.80351,1.75428,1.16385,0,0,0,0.04218,2.70235,0.46724,0.94684,12.28972,1.20148,0.17396,0.75431,0.06898,0.05857,6.40591,5.07051,3.89962,2.63524,3.66764,0.2268,0.30318,2.36384,0,0,0,0
Fr1_35,2.634542,0.589343,7.486337,1.282175,4.495026583,2.787367213,0.719829674,2.886953843,1.033117512,0,6.67346,4.62501,0,0,1.58089,0,9.37073,0,0,0,0,0,0,14.17576,0,52.94283,6.92993,0,3.70139,0,0,0,0,0,82.7102,0,0,0,0.40632,0,0,12.03158,4.85191,0,0,3.96499,2.8962,1.63476,0,0,0,0.19765,2.42655,0,2.91075,43.78607,0,0.46121,0.03985,0,0,0,28.07988,0,0.44586,6.16672,0,4.64726,2.34226,0,0,0,0
Fr1_36,2.27017,1.066862,7.507362,0.709551,4.54324103,2.631870199,,3.83847112,0.38996308,2.35848,0,0,0,0,0,0,32.09901,0,0.53628,0,0,0.72134,0,35.02698,0,29.25791,0,0,0,0,0,0,0.75746,0,70.46158,0,0,0,0,0,0,15.41258,0,0,3.15886,7.0721,0,0,0,0,0,0.03968,2.10814,0,1.29016,57.89124,0,0.10666,0,0,0.43334,0,28.56328,0,0.58559,0,0,0.28192,1.62789,0,0,0,0
