treatment,concentration,S1,S2,S3,S4,S5,S6
Treatment 1,1,6565,6876.25,1416.667,1522.273,1537.49573,1183.871712
,10,7691.25,6657.5,2916.667,1405.606,1405.606,1503.99842
,100,10116.25,7540,6437.5,2264.697,2762.93034,3011.594071
,,,,,,,
Treatment 2,1,5462.777778,5220.833333,4083.334,2099.091,2413.95465,2969.16422
,10,1618.888889,5905.833333,2833.334,1713.939,1439.70876,1598.076724
,100,2348.888889,1782.5,3250,1489.546,1444.85962,1560.44839
,,,,,,,
Treatment 3,1,4458.333333,7086.25,2108.333,4149.996,3236.99688,2751.447348
,10,8758.75,10758.75,6133.333,3837.496,4566.62024,4018.625811
,100,11681.25,9344.166667,11150,11166.66,13846.6584,13015.8589